Country,Gold,Silver,Bronze,Total_Medals
United States,1060,831,738,2629
Great Britain,284,318,314,916
France,223,251,277,751
Germany,201,207,247,655
China,262,199,173,634
Italy,217,188,213,618
Australia,164,173,210,547
Hungary,181,154,176,511
Sweden,148,176,179,503
Japan,169,150,178,497
Russia,149,126,151,426
Finland,101,85,119,305
